Date : 2024-09-03 10:33:10
Directory : c:\Users\deltagare\aurellab\Activities
Total : 163 files,  27949 codes, 444 comments, 1336 blanks, all 29729 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          7 |     17,930 |          0 |          5 |     17,935 |
| C#                 |         73 |      4,289 |         59 |      1,019 |      5,367 |
| XML                |          8 |      2,965 |         17 |         27 |      3,009 |
| TypeScript JSX     |         44 |      1,667 |          7 |        149 |      1,823 |
| TypeScript         |         19 |        882 |          6 |         98 |        986 |
| CSS                |          2 |         84 |        326 |          9 |        419 |
| YAML               |          1 |         36 |          0 |          1 |         37 |
| JSON with Comments |          1 |         26 |          0 |          1 |         27 |
| Markdown           |          1 |         26 |          0 |         21 |         47 |
| HTML               |          2 |         21 |         23 |          1 |         45 |
| Docker             |          1 |         18 |          3 |          5 |         26 |
| JavaScript         |          2 |          2 |          3 |          0 |          5 |
| Ignore             |          1 |          2 |          0 |          0 |          2 |
| Properties         |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        163 |     27,949 |        444 |      1,336 |     29,729 |
| . (Files)                                                                                                           |          2 |         20 |          3 |          5 |         28 |
| .github                                                                                                             |          1 |         36 |          0 |          1 |         37 |
| .github\workflows                                                                                                   |          1 |         36 |          0 |          1 |         37 |
| API                                                                                                                 |         33 |      3,722 |        383 |        115 |      4,220 |
| API (Files)                                                                                                         |          4 |        119 |         16 |         27 |        162 |
| API\AIM                                                                                                             |          1 |          0 |         18 |          0 |         18 |
| API\Controllers                                                                                                     |          9 |        308 |          0 |         48 |        356 |
| API\DTOs                                                                                                            |          3 |         35 |          0 |          1 |         36 |
| API\Extensions                                                                                                      |          3 |        158 |          9 |         14 |        181 |
| API\Middleware                                                                                                      |          1 |         38 |          0 |          6 |         44 |
| API\Properties                                                                                                      |          1 |         14 |          0 |          1 |         15 |
| API\Services                                                                                                        |          1 |         36 |          0 |          7 |         43 |
| API\SingnalR                                                                                                        |          1 |         28 |          0 |          6 |         34 |
| API\wwwroot                                                                                                         |          9 |      2,986 |        340 |          5 |      3,331 |
| API\wwwroot (Files)                                                                                                 |          3 |         57 |          0 |          1 |         58 |
| API\wwwroot\static                                                                                                  |          6 |      2,929 |        340 |          4 |      3,273 |
| API\wwwroot\static\css                                                                                              |          1 |         47 |        325 |          1 |        373 |
| API\wwwroot\static\js                                                                                               |          2 |          2 |          3 |          0 |          5 |
| API\wwwroot\static\media                                                                                            |          3 |      2,880 |         12 |          3 |      2,895 |
| Application                                                                                                         |         32 |        967 |          0 |        175 |      1,142 |
| Application (Files)                                                                                                 |          1 |         18 |          0 |          5 |         23 |
| Application\Activities                                                                                              |         10 |        321 |          0 |         63 |        384 |
| Application\Comments                                                                                                |          3 |        103 |          0 |         16 |        119 |
| Application\Core                                                                                                    |          5 |        114 |          0 |          8 |        122 |
| Application\Followers                                                                                               |          2 |        103 |          0 |         17 |        120 |
| Application\Interfaces                                                                                              |          2 |         17 |          0 |          1 |         18 |
| Application\Photos                                                                                                  |          4 |        136 |          0 |         41 |        177 |
| Application\Profiles                                                                                                |          5 |        155 |          0 |         24 |        179 |
| Domain                                                                                                              |          7 |         84 |          0 |          6 |         90 |
| Infrastructure                                                                                                      |          5 |        133 |          0 |         26 |        159 |
| Infrastructure (Files)                                                                                              |          1 |         15 |          0 |          5 |         20 |
| Infrastructure\Photos                                                                                               |          2 |         61 |          0 |          7 |         68 |
| Infrastructure\Security                                                                                             |          2 |         57 |          0 |         14 |         71 |
| Persistence                                                                                                         |         12 |      2,480 |         21 |        727 |      3,228 |
| Persistence (Files)                                                                                                 |          3 |        317 |          0 |         18 |        335 |
| Persistence\Migrations                                                                                              |          9 |      2,163 |         21 |        709 |      2,893 |
| client-app                                                                                                          |         71 |     20,507 |         37 |        281 |     20,825 |
| client-app (Files)                                                                                                  |          5 |     17,876 |          0 |         24 |     17,900 |
| client-app\public                                                                                                   |          2 |         45 |         23 |          2 |         70 |
| client-app\src                                                                                                      |         64 |      2,586 |         14 |        255 |      2,855 |
| client-app\src (Files)                                                                                              |          4 |         33 |          8 |          9 |         50 |
| client-app\src\app                                                                                                  |         30 |      1,228 |          3 |        138 |      1,369 |
| client-app\src\app\api                                                                                              |          1 |        107 |          0 |         11 |        118 |
| client-app\src\app\common                                                                                           |         10 |        241 |          1 |         23 |        265 |
| client-app\src\app\common\form                                                                                      |          5 |        114 |          0 |          9 |        123 |
| client-app\src\app\common\imageUpload                                                                               |          3 |        105 |          1 |         13 |        119 |
| client-app\src\app\common\modals                                                                                    |          1 |         13 |          0 |          1 |         14 |
| client-app\src\app\common\options                                                                                   |          1 |          9 |          0 |          0 |          9 |
| client-app\src\app\layout                                                                                           |          4 |        120 |          1 |         17 |        138 |
| client-app\src\app\models                                                                                           |          6 |        120 |          0 |         13 |        133 |
| client-app\src\app\router                                                                                           |          2 |         40 |          0 |          5 |         45 |
| client-app\src\app\stores                                                                                           |          7 |        600 |          1 |         69 |        670 |
| client-app\src\features                                                                                             |         30 |      1,325 |          3 |        108 |      1,436 |
| client-app\src\features\activities                                                                                  |         13 |        725 |          2 |         52 |        779 |
| client-app\src\features\activities\dashboard                                                                        |          6 |        242 |          0 |         19 |        261 |
| client-app\src\features\activities\details                                                                          |          6 |        393 |          2 |         26 |        421 |
| client-app\src\features\activities\form                                                                             |          1 |         90 |          0 |          7 |         97 |
| client-app\src\features\errors                                                                                      |          4 |         95 |          0 |         13 |        108 |
| client-app\src\features\home                                                                                        |          1 |         35 |          1 |          2 |         38 |
| client-app\src\features\profiles                                                                                    |         10 |        401 |          0 |         39 |        440 |
| client-app\src\features\users                                                                                       |          2 |         69 |          0 |          2 |         71 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\deltagare\aurellab\Activities\.dockerignore                                                                | Ignore             |          2 |          0 |          0 |          2 |
| c:\Users\deltagare\aurellab\Activities\.github\workflows\docker-push.yml                                            | YAML               |         36 |          0 |          1 |         37 |
| c:\Users\deltagare\aurellab\Activities\API\AIM\ChatGtp4.cs                                                          | C#                 |          0 |         18 |          0 |         18 |
| c:\Users\deltagare\aurellab\Activities\API\API.csproj                                                               | XML                |         24 |          5 |          6 |         35 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\AccountController.cs                                         | C#                 |         82 |          0 |         14 |         96 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\ActivitiesController.cs                                      | C#                 |         48 |          0 |          9 |         57 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\BaseApiController.cs                                         | C#                 |         37 |          0 |          4 |         41 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\BuggyController.cs                                           | C#                 |         28 |          0 |          5 |         33 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\FallbackController.cs                                        | C#                 |         14 |          0 |          1 |         15 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\FollowController.cs                                          | C#                 |         25 |          0 |          3 |         28 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\PhotosController.cs                                          | C#                 |         23 |          0 |          3 |         26 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\ProfilesController.cs                                        | C#                 |         24 |          0 |          3 |         27 |
| c:\Users\deltagare\aurellab\Activities\API\Controllers\WeatherForecastController.cs                                 | C#                 |         27 |          0 |          6 |         33 |
| c:\Users\deltagare\aurellab\Activities\API\DTOs\LoginDto.cs                                                         | C#                 |          8 |          0 |          0 |          8 |
| c:\Users\deltagare\aurellab\Activities\API\DTOs\RegisterDto.cs                                                      | C#                 |         17 |          0 |          1 |         18 |
| c:\Users\deltagare\aurellab\Activities\API\DTOs\UserDto.cs                                                          | C#                 |         10 |          0 |          0 |         10 |
| c:\Users\deltagare\aurellab\Activities\API\Extensions\ApplicationServiceExtensions.cs                               | C#                 |         79 |          9 |          8 |         96 |
| c:\Users\deltagare\aurellab\Activities\API\Extensions\HttpExtensions.cs                                             | C#                 |         20 |          0 |          1 |         21 |
| c:\Users\deltagare\aurellab\Activities\API\Extensions\IdentityServiceExtensions.cs                                  | C#                 |         59 |          0 |          5 |         64 |
| c:\Users\deltagare\aurellab\Activities\API\Middleware\ExceptionMiddleware.cs                                        | C#                 |         38 |          0 |          6 |         44 |
| c:\Users\deltagare\aurellab\Activities\API\Program.cs                                                               | C#                 |         75 |         11 |         16 |        102 |
| c:\Users\deltagare\aurellab\Activities\API\Properties\launchSettings.json                                           | JSON               |         14 |          0 |          1 |         15 |
| c:\Users\deltagare\aurellab\Activities\API\Services\TokenService.cs                                                 | C#                 |         36 |          0 |          7 |         43 |
| c:\Users\deltagare\aurellab\Activities\API\SingnalR\ChatHub.cs                                                      | C#                 |         28 |          0 |          6 |         34 |
| c:\Users\deltagare\aurellab\Activities\API\WeatherForecast.cs                                                       | C#                 |          8 |          0 |          5 |         13 |
| c:\Users\deltagare\aurellab\Activities\API\appsettings.Development.json                                             | JSON               |         12 |          0 |          0 |         12 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\asset-manifest.json                                              | JSON               |         31 |          0 |          0 |         31 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\index.html                                                       | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\manifest.json                                                    | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\static\css\main.af6f7dc4.css                                     | CSS                |         47 |        325 |          1 |        373 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\static\js\787.13e3e0c6.chunk.js                                  | JavaScript         |          1 |          1 |          0 |          2 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\static\js\main.bfd3df91.js                                       | JavaScript         |          1 |          2 |          0 |          3 |
| c:\Users\deltagare\aurellab\Activities\API\wwwroot\static\media\brand-icons.6729d29753e000c17489.svg                | XML                |      1,004 |          4 |          1 |      1,009 |
