"filename", "language", "XML", "C#", "Docker", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "Markdown", "JSON", "Properties", "HTML", "JavaScript", "Ignore", "YAML", "comment", "blank", "total"
"c:\Users\deltagare\aurellab\Activities\API\wwwroot\static\media\icons.62d9dae4e0040e81c980.svg", "XML", 1514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1519
"c:\Users\deltagare\aurellab\Activities\API\wwwroot\static\media\outline-icons.9c4845b4b41ef40a22fa.svg", "XML", 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 367
"c:\Users\deltagare\aurellab\Activities\Application\Activities\ActivityDto.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\deltagare\aurellab\Activities\Application\Activities\ActivityParams.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\deltagare\aurellab\Activities\Application\Activities\ActivityValidator.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\deltagare\aurellab\Activities\Application\Activities\AttendeeDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\deltagare\aurellab\Activities\Application\Activities\Create.cs", "C#", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\deltagare\aurellab\Activities\Application\Activities\Delete.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\Users\deltagare\aurellab\Activities\Application\Activities\Details.cs", "C#", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\deltagare\aurellab\Activities\Application\Activities\Edit.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 52
"c:\Users\deltagare\aurellab\Activities\Application\Activities\List.cs", "C#", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Users\deltagare\aurellab\Activities\Application\Activities\UpdateAttendence.cs", "C#", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 71
"c:\Users\deltagare\aurellab\Activities\Application\Application.csproj", "XML", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\deltagare\aurellab\Activities\Application\Comments\CommentDto.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\deltagare\aurellab\Activities\Application\Comments\Create.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 68
"c:\Users\deltagare\aurellab\Activities\Application\Comments\List.cs", "C#", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\deltagare\aurellab\Activities\Application\Core\AppException.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\deltagare\aurellab\Activities\Application\Core\MappingProfiles.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\deltagare\aurellab\Activities\Application\Core\PagedList.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\deltagare\aurellab\Activities\Application\Core\PagingParams.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\deltagare\aurellab\Activities\Application\Core\Result.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\deltagare\aurellab\Activities\Application\Followers\FollowToggle.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
"c:\Users\deltagare\aurellab\Activities\Application\Followers\List.cs", "C#", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\deltagare\aurellab\Activities\Application\Interfaces\IPhotoAccessor.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\deltagare\aurellab\Activities\Application\Interfaces\IUserAccessor.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\deltagare\aurellab\Activities\Application\Photos\Add.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 60
"c:\Users\deltagare\aurellab\Activities\Application\Photos\Delete.cs", "C#", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\deltagare\aurellab\Activities\Application\Photos\PhotoUploadResult.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\deltagare\aurellab\Activities\Application\Photos\SetMain.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 52
"c:\Users\deltagare\aurellab\Activities\Application\Profiles\ActivitiesList.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\deltagare\aurellab\Activities\Application\Profiles\Details.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"c:\Users\deltagare\aurellab\Activities\Application\Profiles\Edit.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
